City/Town,Democratic,Republican,All Others,Blanks
Abington,"4,420","2,797",0,195
Acton,"8,699","2,262",1,222
Acushnet,"2,196","1,960",1,140
Adams,"2,190",893,13,95
Agawam,"6,515","5,193",5,347
Alford,216,41,0,4
Amesbury,"5,323","2,314",4,185
Amherst,"10,019",829,9,280
Andover,"10,975","5,250",5,303
Aquinnah,241,21,0,5
Arlington,"20,387","3,506",10,458
Ashburnham,"1,592","1,194",2,61
Ashby,833,740,0,30
Ashfield,848,185,0,18
Ashland,"5,592","2,073",0,154
Athol,"2,201","1,624",3,87
Attleboro,"9,790","5,861",7,275
Auburn,"4,677","2,915",2,150
Avon,"1,258",647,0,45
Ayer,"2,251","1,089",0,72
Barnstable,"12,807","9,144",9,322
Barre,"1,211","1,016",2,46
Becket,525,258,5,17
Bedford,"4,937","1,860",4,125
Belchertown,"4,603","2,368",2,141
Bellingham,"4,087","2,967",24,158
Belmont,"10,050","2,598",6,337
Berkley,"1,365","1,435",2,88
Berlin,"1,103",620,0,37
Bernardston,749,288,0,15
Beverly,"13,401","5,155",1,416
Billerica,"10,637","6,987",22,428
Blackstone,"1,879","1,639",1,78
Blandford,267,321,0,16
Bolton,"1,928",971,2,51
Boston,"188,180","29,316",345,"8,530"
Bourne,"4,666","4,569",3,134
Boxborough,"1,996",696,0,59
Boxford,"2,541","1,823",2,104
Boylston,"1,435","1,000",0,58
Braintree,"10,785","5,674",13,575
Brewster,"3,906","2,020",2,75
Bridgewater,"5,974","4,341",3,298
Brimfield,859,915,1,37
Brockton,"20,427","5,551",1,711
Brookfield,760,738,1,32
Brookline,"22,201","2,750",9,547
Buckland,741,212,2,21
Burlington,"7,345","3,831",8,308
Cambridge,"42,381","2,958",25,"1,026"
Canton,"7,373","3,414",0,291
Carlisle,"2,222",700,0,67
Carver,"2,607","2,346",4,112
Charlemont,375,195,0,23
Charlton,"2,814","2,905",4,118
Chatham,"2,443","1,621",3,47
Chelmsford,"11,037","5,592",9,417
Chelsea,"5,325","1,030",0,372
Cheshire,897,564,6,45
Chester,263,301,0,11
Chesterfield,420,220,0,17
Chicopee,"11,684","6,283",27,451
Chilmark,620,100,0,13
Clarksburg,461,225,0,29
Clinton,"3,530","1,973",5,93
Cohasset,"2,880","1,505",1,80
Colrain,538,198,0,16
Concord,"8,125","1,891",5,170
Conway,876,222,0,18
Cummington,359,119,0,7
Dalton,"2,015",798,14,109
Danvers,"7,891","4,496",5,312
Dartmouth,"7,777","4,843",8,338
Dedham,"8,637","3,391",8,403
Deerfield,"2,003",610,1,39
Dennis,"5,087","3,177",1,110
Dighton,"1,655","1,528",0,87
Douglas,"1,824","2,054",1,92
Dover,"1,998","1,079",0,56
Dracut,"7,414","5,507",0,355
Dudley,"2,173","2,059",2,80
Dunstable,"1,033",674,0,30
Duxbury,"5,085","3,315",2,141
E. Bridgewater,"3,461","2,866",0,184
E. Brookfield,504,513,0,16
E. Longmeadow,"4,241","3,136",3,197
Eastham,"2,278",992,3,34
Easthampton,"6,553","1,878",3,173
Easton,"6,566","3,842",2,239
Edgartown,"1,702",651,0,61
Egremont,636,125,5,27
Erving,424,216,1,10
Essex,"1,383",618,0,41
Everett,"7,748","2,214",15,386
Fairhaven,"4,123","2,806",3,185
Fall River,"12,620","6,442",39,"1,247"
Falmouth,"11,256","6,126",5,259
Fitchburg,"7,423","3,971",1,286
Florida,168,148,0,9
