City/Town,Democratic,Republican,All Others,Blanks
Abington,"3,397","2,559",0,413
Acton,"4,817","3,715",1,288
Acushnet,"2,623","1,270",15,391
Adams,"2,407","1,244",4,316
Agawam,"6,058","3,270",0,"1,027"
Alford,58,100,0,24
Amesbury,"3,264","1,979",1,413
Amherst,"5,998","1,908",1,"1,737"
Andover,"8,227","5,773",0,558
Aquinnah,80,19,0,17
Arlington,"16,751","6,064",6,"1,527"
Ashburnham,"1,113",979,6,121
Ashby,577,559,0,43
Ashfield,434,296,0,97
Ashland,"3,489","1,844",0,240
Athol,"1,875","1,815",0,202
Attleboro,"6,104","5,537",0,"1,058"
Auburn,"3,686","3,122",0,541
Avon,"1,371",945,8,128
Ayer,"1,097",802,0,80
Barnstable,"9,953","8,043",1,"1,062"
Barre,"1,077",870,0,143
Becket,269,194,0,35
Bedford,"3,464","2,199",0,310
Belchertown,"2,324","1,349",0,399
Bellingham,"3,275","2,526",0,348
Belmont,"9,456","3,639",0,677
Berkley,752,786,0,138
Berlin,479,614,0,52
Bernardston,368,484,0,43
Beverly,"10,282","6,249",2,974
Billerica,"8,742","5,694",0,761
Blackstone,"1,636","1,127",0,196
Blandford,216,249,0,53
Bolton,794,822,0,77
Boston,"107,604","32,088",2,"20,205"
Bourne,"3,307","2,891",1,455
Boxborough,806,700,1,60
Boxford,"1,621","1,664",0,115
Boylston,873,900,0,81
Braintree,"10,477","5,855",0,803
Brewster,"2,288","1,971",0,292
Bridgewater,"3,617","3,225",1,606
Brimfield,650,579,0,66
Brockton,"15,959","10,673",0,"1,973"
Brookfield,569,606,0,57
Brookline,"17,956","4,472",2,"1,718"
Buckland,411,359,0,72
Burlington,"6,823","3,775",0,624
Cambridge,"27,775","4,786",6,"2,367"
Canton,"6,013","3,263",0,697
Carlisle,"1,291","1,025",0,104
Carver,"2,161","2,111",0,219
Charlemont,214,248,1,40
Charlton,"1,660","1,596",1,185
Chatham,"1,720","2,194",0,163
Chelmsford,"8,876","6,352",34,611
Chelsea,"5,184","1,833",0,889
Cheshire,785,578,1,112
Chester,248,195,0,42
Chesterfield,210,213,0,47
Chicopee,"13,024","5,817",21,"1,013"
Chilmark,235,140,0,41
Clarksburg,409,295,4,63
Clinton,"2,943","2,206",0,311
Cohasset,"2,093","1,806",1,215
Colrain,313,330,1,55
Concord,"5,494","2,742",0,321
Conway,477,243,0,76
Cummington,172,157,2,40
Dalton,"1,457","1,161",0,236
Danvers,"6,841","4,382",1,639
Dartmouth,"6,078","3,435",0,"1,321"
Dedham,"7,623","3,971",0,733
Deerfield,"1,473",795,0,197
Dennis,"3,757","3,271",1,467
Dighton,"1,227","1,048",0,193
Douglas,960,"1,000",0,102
Dover,"1,401","1,308",2,181
Dracut,"6,670","4,031",11,592
Dudley,"1,959","1,353",0,267
Dunstable,578,462,0,41
Duxbury,"3,537","3,360",1,320
E. Bridgewater,"2,005","2,230",0,291
E. Brookfield,377,390,0,60
E. Longmeadow,"3,334","2,254",0,385
Eastham,"1,377","1,142",0,115
Easthampton,"3,739","2,194",1,518
Easton,"4,401","4,056",0,530
Edgartown,692,490,1,320
Egremont,218,251,0,63
Erving,341,263,0,36
Essex,810,737,0,77
Everett,"9,983","3,521",0,"1,281"
Fairhaven,"4,022","2,162",0,741
Fall River,"17,530","5,928",0,"4,310"
Falmouth,"7,465","5,317",1,947
Fitchburg,"7,745","4,555",0,881
Florida,146,140,0,29
Foxborough,"3,699","3,013",1,423
Framingham,"18,234","7,351",1,"1,320"
Franklin,"5,179","3,600",0,504
Freetown,"1,768","1,306",0,233
Gardner,"4,044","2,903",0,530
Georgetown,"1,683","1,228",1,142
Gill,408,198,0,43
Gloucester,"6,786","4,455",0,903
Goshen,157,148,7,34
Gosnold,37,45,0,2
Grafton,"2,822","2,451",0,257
Granby,"1,223",910,1,142
Granville,197,330,0,39
Great Barrington,"1,300","1,046",7,380
Greenfield,"4,091","2,590",1,620
Groton,"1,893","1,436",2,125
Groveland,"1,392","1,120",0,140
Hadley,"1,353",759,0,284
Halifax,"1,346","1,487",10,176
Hamilton,"1,840","1,654",0,209
Hampden,"1,122",835,0,123
Hancock,112,154,0,39
Hanover,"3,339","2,523",0,320
