City/Town,Democratic,Republican,All Others,Blanks
Abington,"3,113","2,523",2,275
Acton,"5,636","2,751",8,341
Acushnet,"1,697","1,261",1,186
Adams,"1,636",519,1,82
Agawam,"4,800","4,809",10,685
Alford,156,48,0,5
Amesbury,"3,367","2,328",14,236
Amherst,"6,652",957,16,309
Andover,"6,609","6,096",2,504
Aquinnah,166,25,0,9
Arlington,"14,326","4,613",7,795
Ashburnham,"1,068","1,042",2,82
Ashby,612,645,1,46
Ashfield,686,146,0,35
Ashland,"3,255","2,228",4,249
Athol,"1,611","1,599",3,160
Attleboro,"6,386","5,344",5,560
Auburn,"3,185","2,861",0,298
Avon,938,687,0,75
Ayer,"1,305","1,065",3,117
Barnstable,"9,228","9,003",5,536
Barre,916,938,4,99
Becket,387,188,0,18
Bedford,"3,279","2,139",4,242
Belchertown,"2,890","2,122",0,263
Bellingham,"2,800","2,543",3,316
Belmont,"6,885","3,010",6,444
Berkley,986,"1,037",2,108
Berlin,746,595,0,70
Bernardston,508,271,0,29
Beverly,"8,586","5,459",4,745
Billerica,"6,897","6,711",7,619
Blackstone,"1,450","1,320",2,141
Blandford,223,264,0,28
Bolton,"1,131","1,068",0,95
Boston,"122,016","27,426",288,"11,385"
Bourne,"3,490","3,792",2,264
Boxborough,"1,227",793,2,80
Boxford,"1,496","2,060",2,137
Boylston,968,"1,016",4,87
Braintree,"7,948","5,659",9,801
Brewster,"2,736","2,049",1,160
Bridgewater,"4,060","3,844",7,427
Brimfield,564,801,0,81
Brockton,"14,807","5,518",4,"1,147"
Brookfield,552,624,4,65
Brookline,"14,746","3,422",8,673
Buckland,526,196,0,28
Burlington,"4,589","4,329",10,406
Cambridge,"27,984","3,428",42,"1,271"
Canton,"4,752","3,581",3,438
Carlisle,"1,468",963,0,110
Carver,"1,868","2,063",3,160
Charlemont,285,140,0,19
Charlton,"1,765","2,595",4,200
Chatham,"1,747","1,773",1,85
Chelmsford,"7,104","6,293",12,769
Chelsea,"3,555",973,0,627
Cheshire,643,344,0,26
Chester,202,248,0,17
Chesterfield,326,198,0,25
Chicopee,"9,263","6,009",39,760
Chilmark,402,96,0,13
Clarksburg,372,174,0,24
Clinton,"2,549","1,740",5,179
Cohasset,"1,717","1,709",5,188
Colrain,392,187,0,22
Concord,"5,460","2,526",1,287
Conway,721,217,0,22
Cummington,301,111,0,13
Dalton,"1,361",624,0,71
Danvers,"5,139","4,547",10,464
Dartmouth,"5,321","3,610",5,466
Dedham,"5,821","3,503",4,567
Deerfield,"1,566",613,1,80
Dennis,"3,750","3,102",0,205
Dighton,"1,082","1,132",3,135
Douglas,"1,196","1,746",0,140
Dover,"1,149","1,434",0,135
Dracut,"5,165","4,977",0,488
Dudley,"1,636","1,756",0,151
Dunstable,633,707,0,54
Duxbury,"3,122","3,610",4,283
E. Bridgewater,"2,318","2,401",3,271
E. Brookfield,363,479,2,38
E. Longmeadow,"2,881","3,067",4,416
Eastham,"1,707","1,060",2,59
Easthampton,"4,264","1,765",2,234
Easton,"4,085","3,795",7,400
Edgartown,"1,031",618,0,67
Egremont,458,145,0,29
Erving,338,165,0,16
