City/Town,Democratic,Republican,All Others,Blanks
Abington,"3,704","1,210",105,106
Acton,"4,617","1,914",121,412
Acushnet,"2,679",586,103,126
Adams,"3,643",554,81,152
Agawam,"5,922","1,438",496,378
Alford,101,65,2,12
Amesbury,"3,154",788,141,254
Amherst,"6,613","1,173",426,999
Andover,"7,424","3,074",277,467
Aquinnah,72,9,7,12
Arlington,"18,093","3,447",474,987
Ashburnham,"1,124",324,22,42
Ashby,642,248,21,32
Ashfield,417,202,25,34
Ashland,"2,655",687,92,151
Athol,"2,596",846,61,75
Attleboro,"6,746","2,614",354,690
Auburn,"4,332","1,363",133,384
Avon,"1,415",445,69,145
Ayer,"1,255",310,31,45
Barnstable,"9,523","4,004",271,528
Barre,"1,279",325,27,56
Becket,229,127,11,14
Bedford,"3,315","1,066",110,237
Belchertown,"1,873",557,95,109
Bellingham,"3,568",679,138,269
Belmont,"9,247","2,496",273,899
Berkley,625,244,31,40
Berlin,609,241,24,31
Bernardston,436,248,18,24
Beverly,"11,415","2,908",326,832
Billerica,"8,751","1,769",353,468
Blackstone,"1,560",270,97,176
Blandford,204,173,14,6
Bolton,730,346,25,37
Boston,"116,720","13,491",5141,"16,688"
Bourne,"3,214","1,207",131,162
Boxborough,679,308,8,40
Boxford,"1,276",941,49,77
Boylston,941,451,22,47
Braintree,"11,488","3,029",321,486
Brewster,"1,684",924,54,135
Bridgewater,"3,672","1,305",138,559
Brimfield,576,238,37,33
Brockton,"18,726","6,900",911,"1,491"
Brookfield,552,259,19,15
Brookline,"18,276","2,517",758,"2,562"
Buckland,481,185,10,38
Burlington,"7,018","1,286",237,387
Cambridge,"27,441","2,864",912,"2,333"
Canton,"6,270","1,357",149,265
Carlisle,"1,010",538,31,85
Carver,"1,861",607,46,72
Charlemont,220,136,19,17
Charlton,"1,441",432,43,56
Chatham,"1,846","1,403",30,68
Chelmsford,"8,680","3,050",236,421
Chelsea,"7,069",602,188,577
Cheshire,955,244,22,41
Chester,244,86,14,12
Chesterfield,171,107,10,13
Chicopee,"15,906","2,635",766,486
Chilmark,252,73,15,20
Clarksburg,491,133,13,21
Clinton,"4,434",728,134,270
Cohasset,"2,276","1,039",73,152
Colrain,357,158,25,25
Concord,"4,711","2,008",135,351
Conway,375,139,26,51
Cummington,173,109,11,14
Dalton,"1,797",689,52,82
Danvers,"7,212","2,032",189,495
Dartmouth,"5,732","2,127",349,622
Dedham,"9,015","1,834",260,528
Deerfield,"1,421",368,59,60
Dennis,"3,774","1,790",109,321
Dighton,"1,316",511,41,50
Douglas,"1,139",317,28,48
Dover,"1,246","1,095",42,95
Dracut,"6,499","1,333",211,289
Dudley,"2,169",426,50,227
Dunstable,421,194,10,25
Duxbury,"2,979","1,765",104,260
E. Bridgewater,"1,996",966,95,91
E. Brookfield,503,170,10,23
E. Longmeadow,"3,143","1,557",246,204
Eastham,"1,094",646,31,43
Easthampton,"4,260",992,166,195
Easton,"4,052","2,037",125,191
Edgartown,731,365,33,72
Egremont,247,209,16,37
Erving,419,120,11,10
Essex,858,375,24,37
Everett,"12,089","1,160",442,926
Fairhaven,"4,039","1,126",279,287
Fall River,"24,959","2,865",911,"2,415"
Falmouth,"7,573","2,641",199,344
Fitchburg,"10,315","1,620",291,988
Florida,169,50,5,9
Foxborough,"3,956","1,335",127,153
Framingham,"18,502","3,895",424,842
Franklin,"4,810","1,002",138,413
Freetown,"1,869",595,81,96
Gardner,"5,689","1,082",127,253
Georgetown,"1,663",619,36,83
Gill,425,100,12,18
Gloucester,"7,698","1,870",205,398
Goshen,140,86,13,4
Gosnold,34,20,4,3
Grafton,"3,290",809,72,147
Granby,"1,201",419,86,64
Granville,230,254,19,22
Great Barrington,"1,671",546,107,244
Greenfield,"4,854","1,398",294,266
Groton,"1,604",659,46,80
Groveland,"1,563",499,40,59
Hadley,"1,372",332,63,118
Halifax,"1,453",643,29,45
Hamilton,"1,838",930,32,112
Hampden,979,546,57,41
Hancock,130,78,10,27
Hanover,"3,178","1,126",72,138
Hanson,"1,945",695,69,145
Hardwick,696,184,27,32
Harvard,"1,234",592,37,92
