City/Town,Democratic,Republican,All Others,Blanks
Abington,"1,973","2,119",60,72
Acton,"1,376","4,059",60,79
Acushnet,"2,306","1,064",76,79
Adams,"2,650","1,482",65,97
Agawam,"3,390","2,831",138,162
Alford,55,89,4,8
Amesbury,"1,836","1,967",52,141
Amherst,"1,156","4,075",327,261
Andover,"3,067","6,376",116,347
Aquinnah,28,38,7,14
Arlington,"9,789","11,180",287,351
Ashburnham,570,569,12,25
Ashby,300,416,6,4
Ashfield,111,347,28,21
Ashland,"1,089","1,576",35,31
Athol,"1,487","1,507",22,37
Attleboro,"4,167","3,459",156,468
Auburn,"2,670","3,296",96,72
Avon,875,745,25,19
Ayer,730,585,25,13
Barnstable,"3,427","5,966",118,171
Barre,859,645,11,46
Becket,119,148,2,14
Bedford,"1,397","3,046",58,71
Belchertown,788,721,40,17
Bellingham,"2,720","1,356",84,64
Belmont,"4,601","7,735",118,210
Berkley,290,274,11,15
Berlin,231,473,13,15
Bernardston,188,349,8,11
Beverly,"5,546","8,650",125,234
Billerica,"5,335","3,950",119,127
Blackstone,"1,471",472,48,36
Blandford,134,232,4,6
Bolton,206,535,17,5
Boston,"85,074","55,120",3233,"10,068"
Bourne,"1,351","1,797",52,85
Boxborough,173,477,1,4
Boxford,276,"1,353",14,23
Boylston,394,740,15,14
Braintree,"6,772","7,046",157,195
Brewster,459,"1,214",12,21
Bridgewater,"2,037","2,083",69,77
Brimfield,318,359,11,12
Brockton,"12,434","10,284",437,"1,969"
Brookfield,290,386,9,10
Brookline,"6,549","13,996",439,"1,200"
Buckland,252,415,10,25
Burlington,"3,148","3,525",90,121
Cambridge,"13,651","15,153",1100,860
Canton,"3,421","3,380",95,97
Carlisle,191,"1,035",14,18
Carver,551,564,17,22
Charlemont,119,231,8,12
Charlton,625,693,13,19
Chatham,524,"2,010",23,37
Chelmsford,"4,638","5,781",80,150
Chelsea,"5,858","2,625",148,314
Cheshire,624,429,20,33
Chester,177,140,8,15
Chesterfield,82,172,8,6
Chicopee,"12,031","6,403",371,358
Chilmark,64,151,12,12
Clarksburg,312,235,8,12
Clinton,"2,653","1,678",76,94
Cohasset,946,"2,041",37,50
Colrain,173,263,14,14
Concord,"1,378","4,729",85,117
Conway,131,264,16,18
Cummington,76,183,5,6
Dalton,"1,149","1,279",26,51
Danvers,"2,843","4,834",111,450
Dartmouth,"3,839","3,809",148,216
Dedham,"4,856","4,882",146,605
Deerfield,738,766,33,46
Dennis,"1,407","3,006",47,75
Dighton,765,641,11,22
Douglas,641,564,20,23
Dover,358,"1,824",21,30
Dracut,"4,760","2,201",109,106
Dudley,"1,558",939,34,42
Dunstable,177,330,8,6
Duxbury,942,"2,804",33,28
E. Bridgewater,"1,368","1,683",38,119
E. Brookfield,316,304,3,15
E. Longmeadow,"1,547","2,585",46,197
Eastham,317,"1,003",12,20
Easthampton,"2,668","2,455",102,116
Easton,"1,571","2,683",61,60
Edgartown,288,579,22,50
Egremont,140,290,4,16
Erving,257,210,8,4
Essex,230,695,6,10
Everett,"9,257","4,457",185,448
Fairhaven,"3,076","2,425",131,219
Fall River,"22,105","6,205",579,"1,296"
Falmouth,"2,755","3,969",85,138
Fitchburg,"8,798","4,258",153,275
Florida,107,78,3,6
Foxborough,"1,686","2,319",68,60
Framingham,"7,690","12,350",204,263
Franklin,"3,290","2,331",68,128
Freetown,791,692,30,11
Gardner,"3,990","2,285",96,133
Georgetown,644,"1,171",17,22
Gill,176,244,8,9
Gloucester,"3,509","4,436",81,103
Goshen,69,114,3,10
Gosnold,10,32,1,4
Grafton,"1,990","1,804",59,69
Granby,681,781,28,33
Granville,122,222,11,13
Great Barrington,"1,089","1,108",37,168
Greenfield,"2,836","3,453",112,261
Groton,609,"1,242",30,13
Groveland,737,974,15,20
Hadley,687,818,38,39
Halifax,635,788,26,26
Hamilton,544,"2,072",28,30
Hampden,525,698,13,12
Hancock,86,105,3,10
Hanover,"1,551","2,260",44,70
Hanson,"1,053","1,340",29,38
Hardwick,456,295,11,19
Harvard,260,"1,048",13,23
Harwich,961,"2,270",31,29
Hatfield,635,512,25,21
Haverhill,"7,808","5,853",199,975
Hawley,14,57,2,2
Heath,42,90,9,3
Hingham,"2,221","5,019",115,319
Hinsdale,266,186,8,17
Holbrook,"2,087","1,921",49,68
Holden,"1,049","3,746",139,0
Holland,215,176,12,7
Holliston,"1,277","2,730",41,45
Holyoke,"7,744","5,930",289,848
Hopedale,854,758,12,18
Hopkinton,777,"1,291",19,30
Hubbardston,225,268,8,12
Hudson,"2,373","2,175",73,89
Hull,"2,042","1,398",55,65
Huntington,262,225,13,8
Ipswich,"1,244","2,478",30,46
Kingston,993,"1,087",30,31
Lakeville,630,923,33,33
Lancaster,532,930,22,30
Lanesborough,386,469,18,32
Lawrence,"15,920","6,042",351,525
Lee,"1,054",672,44,34
Leicester,"1,466","1,374",49,52
Lenox,752,"1,000",33,96
Leominster,"6,032","3,717",114,660
Leverett,151,292,24,4
Lexington,"2,914","9,478",182,274
Leyden,66,110,5,9
Lincoln,324,"1,788",28,31
Littleton,741,"1,275",30,16
Longmeadow,"2,082","4,164",67,119
Lowell,"21,379","8,325",428,778
Ludlow,"3,382","1,752",88,70
Lunenburg,"1,215","1,498",34,45
Lynn,"14,293","9,768",434,"1,890"
Lynnfield,"1,426","3,410",51,53
Malden,"10,607","7,005",232,500
Manchester-by-the-Sea,353,"1,876",22,22
Mansfield,"1,678","1,603",36,60
Marblehead,"2,009","7,121",91,111
Marion,343,987,28,28
Marlborough,"5,463","4,446",126,214
Marshfield,"2,670","3,515",88,99
Mashpee,390,553,11,11
Mattapoisett,707,"1,384",36,28
Maynard,"1,822","1,387",65,69
Medfield,"1,064","2,203",39,36
Medford,"13,260","8,790",324,526
Medway,"1,237","1,355",38,47
Melrose,"4,410","7,481",122,285
Mendon,395,488,10,9
Merrimac,531,767,14,17
Methuen,"8,532","5,061",168,200
Middleborough,"2,047","2,388",76,78
Middlefield,38,75,2,4
Middleton,526,783,17,33
Milford,"5,045","2,127",72,111
Millbury,"2,293","1,598",57,87
