City/Town,Democratic,Republican,All Others,Blanks
Abington,"3,427","2,803",3,102
Acton,"6,183","2,938",8,169
Acushnet,"2,314","1,611",0,147
Adams,"1,823",503,0,26
Agawam,"5,515","4,996",6,319
Alford,170,50,0,6
Amesbury,"3,588","2,514",5,127
Amherst,"6,625",996,26,312
Andover,"7,769","6,235",5,254
Aquinnah,176,35,0,9
Arlington,"15,260","4,743",30,398
Ashburnham,"1,274","1,203",4,42
Ashby,722,679,1,22
Ashfield,677,170,0,33
Ashland,"4,011","2,427",1,115
Athol,"1,880","1,488",2,60
Attleboro,"6,573","6,470",11,214
Auburn,"3,541","3,061",2,125
Avon,"1,084",730,1,37
Ayer,"1,468","1,068",2,39
Barnstable,"10,768","9,152",2,317
Barre,"1,037",968,1,42
Becket,405,197,0,8
Bedford,"3,634","2,164",6,111
Belchertown,"3,105","2,199",4,111
Bellingham,"3,356","2,956",9,128
Belmont,"7,799","3,125",10,250
Berkley,"1,159","1,214",6,78
Berlin,758,640,0,28
Bernardston,598,259,1,20
Beverly,"9,581","5,836",12,340
Billerica,"8,250","6,598",21,205
Blackstone,"1,659","1,584",0,58
Blandford,233,277,0,14
Bolton,"1,225","1,109",0,31
Boston,"124,068","31,593",312,"8,339"
Bourne,"4,287","3,732",3,116
Boxborough,"1,301",862,0,144
Boxford,"1,909","2,260",1,83
Boylston,"1,127","1,014",2,38
Braintree,"9,025","5,906",17,394
Brewster,"3,130","2,097",0,129
Bridgewater,"4,908","4,058",3,199
Brimfield,701,869,4,30
Brockton,"15,447","6,332",7,727
Brookfield,647,640,1,17
Brookline,"15,981","3,998",17,560
Buckland,568,211,0,24
Burlington,"5,442","3,859",7,167
Cambridge,"28,878","4,128",76,"1,158"
Canton,"5,530","3,810",3,206
Carlisle,"1,680",968,0,48
Carver,"2,370","2,096",7,123
Charlemont,325,141,0,10
Charlton,"2,076","2,651",3,55
Chatham,"2,055","1,791",1,50
Chelmsford,"8,408","6,489",13,299
Chelsea,"3,595","1,066",0,478
Cheshire,786,333,0,13
Chester,246,240,0,13
Chesterfield,305,215,0,15
Chicopee,"9,551","6,402",24,384
Chilmark,444,119,0,17
Clarksburg,438,100,0,11
Clinton,"2,676","1,990",8,97
Cohasset,"2,019","1,721",4,79
Colrain,430,192,0,24
Concord,"6,044","2,538",4,179
Conway,720,237,1,28
Cummington,294,109,1,16
Dalton,"1,653",647,1,42
Danvers,"6,131","4,415",4,187
Dartmouth,"7,081","4,539",6,493
Dedham,"6,381","3,781",14,240
Deerfield,"1,588",595,1,37
Dennis,"4,343","3,256",0,113
Dighton,"1,301","1,403",2,64
Douglas,"1,346","1,922",0,37
Dover,"1,369","1,477",0,60
Dracut,"5,909","5,053",0,214
Dudley,"1,833","1,864",1,47
Dunstable,722,680,1,29
Duxbury,"3,851","3,698",6,113
E. Bridgewater,"2,697","2,598",3,94
E. Brookfield,396,503,2,14
E. Longmeadow,"2,930","3,186",8,138
Eastham,"1,928","1,154",2,42
Easthampton,"4,157","1,963",4,164
Easton,"4,756","4,122",8,190
Edgartown,"1,244",671,0,51
Egremont,444,153,0,10
Erving,339,158,1,10
Essex,985,740,0,35
Everett,"6,313","2,395",11,385
Fairhaven,"3,828","2,367",3,170
Fall River,"12,871","6,347",11,"1,429"
Falmouth,"9,692","5,976",9,277
Fitchburg,"5,977","3,959",5,166
Florida,152,93,0,8
Foxborough,"3,915","3,235",3,125
Framingham,"13,426","6,302",31,390
Franklin,"6,821","5,798",0,210
Freetown,"1,764","1,722",6,76
Gardner,"3,563","2,531",3,125
Georgetown,"1,887","1,746",4,53
Gill,456,169,0,14
Gloucester,"7,399","3,778",9,280
Goshen,294,163,0,11
Gosnold,37,30,0,1
Grafton,"3,348","3,244",2,95
Granby,"1,613","1,332",2,107
Granville,274,406,0,15
Great Barrington,"2,016",480,3,45
Greenfield,"4,392","1,449",4,187
Groton,"2,702","2,030",4,140
Groveland,"1,555","1,458",1,33
Hadley,"1,507",686,0,71
Halifax,"1,621","1,485",3,56
Hamilton,"1,873","1,652",2,76
Hampden,"1,025","1,165",2,71
Hancock,177,102,0,6
Hanover,"3,132","3,325",3,150
Hanson,"2,222","2,068",1,98
Hardwick,575,420,0,19
Harvard,"1,746","1,064",0,68
Harwich,"3,696","2,780",4,74
Hatfield,"1,014",481,2,37
Haverhill,"11,264","8,087",0,429
Hawley,73,60,0,2
Heath,205,110,0,6
Hingham,"6,323","4,802",2,193
Hinsdale,453,253,0,8
Holbrook,"2,344","1,643",0,89
Holden,"4,345","4,133",0,156
Holland,400,545,0,15
Holliston,"3,890","2,631",4,117
Holyoke,"6,885","3,108",4,469
Hopedale,"1,379","1,151",2,40
Hopkinton,"3,513","2,827",1,117
Hubbardston,914,"1,110",0,33
Hudson,"4,451","3,055",3,150
Hull,"2,992","1,611",0,97
Huntington,437,387,1,12
Ipswich,"3,638","2,619",0,126
Kingston,"2,856","2,520",0,98
Lakeville,"2,131","2,422",2,85
Lancaster,"1,429","1,452",1,50
Lanesborough,719,300,1,32
Lawrence,"9,886","2,675",44,640
Lee,"1,439",497,2,45
Leicester,"2,052","2,120",3,67
Lenox,"1,702",506,2,57
Leominster,"7,335","5,821",5,224
Leverett,812,157,3,26
Lexington,"10,416","3,769",6,312
Leyden,244,98,0,11
Lincoln,"2,077",734,1,53
Littleton,"2,396","1,743",0,78
