City/Town,Democratic,Republican,All Others,Blanks
Abington,"2,637","2,153",237,98
Acton,"3,520","3,160",189,195
Acushnet,"2,290","1,017",126,61
Adams,"3,004","1,230",122,74
Agawam,"4,224","3,225",579,206
Alford,95,75,9,1
Amesbury,"2,444","1,631",159,103
Amherst,"6,854","1,878",252,227
Andover,"5,568","5,134",346,194
Aquinnah,84,12,2,2
Arlington,"14,315","7,577",699,410
Ashburnham,873,579,42,18
Ashby,459,433,39,12
Ashfield,357,288,23,10
Ashland,"1,874","1,450",181,80
Athol,"1,756","1,661",113,48
Attleboro,"5,032","4,536",403,433
Auburn,"3,396","2,452",158,206
Avon,"1,118",776,98,82
Ayer,880,681,48,32
Barnstable,"6,992","6,579",346,409
Barre,"1,013",595,58,21
Becket,188,165,18,10
Bedford,"2,566","1,966",139,57
Belchertown,"1,492",956,142,44
Bellingham,"2,670","1,639",177,168
Belmont,"7,208","4,952",360,395
Berkley,455,421,42,22
Berlin,427,425,36,17
Bernardston,302,390,22,12
Beverly,"8,312","6,242",486,441
Billerica,"6,201","4,430",484,226
Blackstone,"1,245",630,106,122
Blandford,110,278,8,1
Bolton,508,591,31,8
Boston,"97,072","43,214",6226,"5,528"
Bourne,"2,436","2,036",157,85
Boxborough,494,511,22,8
Boxford,789,"1,459",83,12
Boylston,723,677,43,18
Braintree,"8,175","6,162",671,316
Brewster,"1,278","1,343",110,66
Bridgewater,"3,059","2,110",203,302
Brimfield,428,414,33,9
Brockton,"15,739","10,130",1067,"1,092"
Brookfield,390,414,34,7
Brookline,"18,515","4,790",402,406
Buckland,324,356,23,11
Burlington,"4,915","3,424",366,223
Cambridge,"25,665","6,308",917,660
Canton,"4,266","3,284",323,168
Carlisle,772,835,42,15
Carver,"1,316","1,126",106,38
Charlemont,170,190,25,7
Charlton,"1,043",835,68,26
Chatham,"1,307","1,938",68,34
Chelmsford,"6,016","5,844",365,162
Chelsea,"5,990","1,838",344,264
Cheshire,754,448,39,21
Chester,183,151,18,4
Chesterfield,121,166,7,7
Chicopee,"11,719","6,259",1448,367
Chilmark,267,85,7,1
Clarksburg,394,243,18,3
Clinton,"3,305","1,926",182,153
Cohasset,"1,576","1,764",117,83
Colrain,254,285,21,5
Concord,"3,918","3,039",162,86
Conway,340,224,17,10
Cummington,141,151,11,4
Dalton,"1,438","1,050",99,33
Danvers,"4,830","4,449",384,265
Dartmouth,"5,074","3,128",351,277
Dedham,"6,147","4,743",458,289
Deerfield,"1,139",673,65,31
Dennis,"2,762","2,813",174,245
Dighton,"1,014",809,59,36
Douglas,841,612,52,27
Dover,755,"1,640",60,23
Dracut,"4,659","3,260",269,144
Dudley,"1,681",975,71,145
Dunstable,267,347,28,8
Duxbury,"2,192","2,633",155,128
E. Bridgewater,"1,413","1,507",154,74
E. Brookfield,368,303,25,10
E. Longmeadow,"2,246","2,462",346,96
Eastham,812,911,76,15
Easthampton,"3,069","2,174",261,109
Easton,"2,617","3,534",185,69
Edgartown,648,491,39,23
Egremont,253,224,21,11
Erving,299,244,15,2
Essex,614,646,26,8
Everett,"9,381","3,967",770,499
Fairhaven,"3,404","1,962",236,129
Fall River,"22,706","5,806",1246,"1,392"
Falmouth,"6,071","4,265",262,159
Fitchburg,"8,442","3,842",381,549
Florida,141,76,12,4
Foxborough,"2,798","2,475",248,50
Framingham,"14,293","8,309",748,313
Franklin,"3,540","2,361",258,204
Freetown,"1,451","1,039",116,35
Gardner,"4,670","2,138",196,147
Georgetown,"1,189","1,100",77,35
Gill,336,193,16,10
Gloucester,"5,878","3,838",268,187
Goshen,104,126,10,3
Gosnold,27,30,4,0
Grafton,"2,457","1,675",131,55
Granby,841,800,100,29
Granville,155,341,21,8
Great Barrington,"1,528",828,101,111
Greenfield,"3,830","2,627",225,130
Groton,"1,133","1,168",64,24
Groveland,"1,128",913,84,36
Hadley,"1,119",666,63,37
Halifax,990,"1,054",87,39
Hamilton,"1,223","1,586",71,32
Hampden,679,785,138,21
Hancock,132,94,10,9
Hanover,"2,264","2,003",189,58
Hanson,"1,338","1,271",133,112
Hardwick,558,325,42,14
Harvard,932,967,46,10
Harwich,"2,073","2,508",126,39
Hatfield,938,454,60,22
Haverhill,"10,842","5,122",483,284
Hawley,45,48,6,1
Heath,112,87,9,2
Hingham,"4,216","4,273",331,383
Hinsdale,315,209,30,11
Holbrook,"2,489","1,713",260,188
Holden,"2,700","3,274",150,74
Holland,271,237,29,8
Holliston,"2,437","2,274",275,125
Holyoke,"8,184","4,325",819,622
Hopedale,937,716,53,36
Hopkinton,"1,457","1,314",98,34
Hubbardston,362,280,28,14
Hudson,"3,023","1,997",182,80
Hull,"2,411","1,078",229,209
Huntington,234,270,45,11
Ipswich,"2,427","2,153",193,68
Kingston,"1,413","1,138",106,46
Lakeville,945,"1,102",90,24
Lancaster,865,"1,026",60,44
Lanesborough,599,349,66,32
Lawrence,"12,803","4,787",791,462
Lee,"1,137",569,143,79
Leicester,"2,242","1,224",121,70
Lenox,"1,174",920,102,86
Leominster,"7,112","4,326",312,474
Leverett,439,183,25,6
Lexington,"8,781","5,415",333,185
Leyden,103,94,8,3
Lincoln,"1,397","1,003",52,77
Littleton,"1,432","1,216",74,26
Longmeadow,"3,207","3,305",240,260
Lowell,"16,776","8,579",855,"1,023"
Ludlow,"3,394","1,891",1074,246
Lunenburg,"1,759","1,775",108,53
Lynn,"18,245","7,772",1344,"1,265"
Lynnfield,"2,311","2,905",235,67
Malden,"13,810","5,483",808,534
Manchester-by-the-Sea,"1,145","1,357",62,34
Mansfield,"2,339","2,250",195,50
Marblehead,"5,280","4,782",241,104
Marion,756,899,45,22
Marlborough,"6,219","3,818",440,232
Marshfield,"4,282","3,398",347,102
Mashpee,853,705,32,21
Mattapoisett,"1,070","1,250",47,30
Maynard,"2,182","1,292",118,60
Medfield,"2,228","2,253",104,56
Medford,"14,938","7,363",915,544
Medway,"1,639","1,268",132,131
