City/Town,Republican,Democratic,All Others,Blanks
Abington,"5,412","1,686",16,298
Acton,"6,774","4,141",22,247
Acushnet,"3,142",995,12,148
Adams,"1,832","1,277",2,80
Agawam,"9,536","2,135",50,339
Alford,98,158,0,5
Amesbury,"5,390","2,210",21,205
Amherst,"3,554","7,322",14,247
Andover,"11,893","4,186",54,400
Aquinnah,106,156,0,5
Arlington,"11,516","12,142",40,663
Ashburnham,"2,087",661,11,90
Ashby,"1,247",308,0,48
Ashfield,450,586,0,15
Ashland,"5,438","2,206",0,175
Athol,"2,993",836,15,71
Attleboro,"11,067","4,579",13,274
Auburn,"6,025","1,544",14,161
Avon,"1,339",538,3,70
Ayer,"2,396",927,11,78
Barnstable,"16,424","5,193",47,618
Barre,"1,672",533,12,58
Becket,425,356,3,21
Bedford,"4,576","2,143",30,177
Belchertown,"4,666","2,249",10,189
Bellingham,"5,557","1,462",33,184
Belmont,"7,217","5,399",31,344
Berkley,"2,142",633,14,101
Berlin,"1,259",457,6,38
Bernardston,687,347,2,16
Beverly,"12,935","5,458",16,564
Billerica,"13,310","4,012",101,651
Blackstone,"2,767",740,7,83
Blandford,470,106,0,28
Bolton,"2,058",796,23,75
Boston,"108,134","112,031",670,"5,536"
Bourne,"7,091","1,945",30,306
Boxborough,"1,758",917,0,76
Boxford,"3,434",869,27,140
Boylston,"1,923",497,0,73
Braintree,"12,094","4,189",84,680
Brewster,"4,167","1,682",15,139
Bridgewater,"7,892","2,295",40,389
Brimfield,"1,369",383,10,50
Brockton,"14,109","11,824",36,721
Brookfield,"1,175",306,8,42
Brookline,"11,489","13,497",25,496
Buckland,521,431,4,20
Burlington,"8,228","2,816",42,406
Cambridge,"15,422","29,966",61,941
Canton,"7,838","2,840",23,377
Carlisle,"1,869","1,052",5,63
Carver,"3,915",969,24,161
Charlemont,344,228,0,21
Charlton,"4,712",960,22,147
Chatham,"3,045",937,16,116
Chelmsford,"12,599","3,896",52,508
Chelsea,"3,118","3,363",0,246
Cheshire,909,560,5,38
Chester,447,111,0,17
Chesterfield,405,235,0,17
Chicopee,"13,145","4,707",87,506
Chilmark,324,394,0,15
Clarksburg,446,250,0,19
Clinton,"4,031","1,414",22,134
Cohasset,"3,358","1,005",10,93
Colrain,423,312,0,17
Concord,"6,193","3,758",12,228
Conway,574,517,0,25
Cummington,243,236,0,6
Dalton,"1,758","1,093",7,78
Danvers,"9,622","2,567",70,445
Dartmouth,"8,766","3,748",25,427
Dedham,"8,264","3,711",43,421
Deerfield,"1,573","1,042",4,34
Dennis,"6,280","1,831",17,247
Dighton,"2,493",684,4,89
