City/Town,Republican,Democratic,All Others,Blanks
Abington,"2,722","1,392",4,260
Acton,"3,725","1,318",7,87
Acushnet,"1,184","1,654",49,336
Adams,"1,976","2,099",14,737
Agawam,"2,887","3,501",175,788
Alford,44,17,8,53
Amesbury,"2,048","1,571",84,366
Amherst,"2,323","2,133",64,231
Andover,"6,155","2,366",81,768
Aquinnah,19,23,0,5
Arlington,"13,775","8,533",58,"1,528"
Ashburnham,667,485,4,132
Ashby,460,246,0,65
Ashfield,352,95,2,37
Ashland,"1,746","1,066",0,224
Athol,"1,971","1,487",5,321
Attleboro,"5,410","4,073",20,"1,066"
Auburn,"3,293","2,556",11,304
Avon,"1,045",638,5,138
Ayer,796,672,1,168
Barnstable,"5,689","2,191",11,588
Barre,658,686,2,113
Becket,126,76,8,47
Bedford,"2,909","1,222",15,140
Belchertown,690,622,4,145
Bellingham,"1,832","1,794",9,487
Belmont,"8,693","3,837",22,899
Berkley,333,205,0,62
Berlin,499,203,1,57
Bernardston,379,113,1,62
Beverly,"8,658","5,131",24,"1,244"
Billerica,"4,850","3,662",15,569
Blackstone,803,"1,041",3,422
Blandford,243,96,0,25
Bolton,534,193,0,47
Boston,"97,378","80,836",1996,"10,866"
Bourne,"2,004","1,013",5,282
Boxborough,403,105,0,27
Boxford,"1,302",259,3,41
Boylston,669,339,1,51
Braintree,"9,116","4,861",30,909
Brewster,756,168,5,52
Bridgewater,"2,032","1,368",2,337
Brimfield,361,244,0,49
Brockton,"14,114","11,197",35,"2,530"
Brookfield,411,234,0,18
Brookline,"13,585","8,690",159,"1,184"
Buckland,502,191,2,92
Burlington,"4,473","2,954",19,520
Cambridge,"15,154","13,563",218,"2,706"
Canton,"3,913","2,339",12,273
Carlisle,881,206,3,28
Carver,458,236,1,69
Charlemont,259,67,0,45
Charlton,704,506,0,111
Chatham,"1,941",401,4,21
Chelmsford,"6,703","3,842",6,439
Chelsea,"4,574","4,710",29,"1,718"
Cheshire,504,370,1,123
Chester,151,132,2,33
Chesterfield,155,53,1,21
Chicopee,"6,786","12,108",32,"3,598"
Chilmark,111,34,1,9
Clarksburg,320,251,1,67
Clinton,"2,400","2,525",48,530
Cohasset,"2,066",812,8,162
Colrain,301,138,0,47
Concord,"4,233","1,784",59,316
Conway,255,106,1,51
Cummington,167,43,0,20
Dalton,"1,485",837,2,184
Danvers,"5,276","3,091",4,"1,002"
Dartmouth,"3,840","3,165",17,915
Dedham,"7,259","3,460",27,903
Deerfield,771,671,1,215
Dennis,"2,381",736,42,149
Dighton,860,565,1,162
Douglas,712,495,2,137
Dover,"1,865",196,2,45
Dracut,"2,825","3,247",4,"1,149"
Dudley,"1,119","1,235",21,244
Dunstable,312,111,3,18
Duxbury,"2,505",589,8,108
E. Bridgewater,"1,892",913,6,193
E. Brookfield,364,255,1,56
E. Longmeadow,"2,492","1,529",34,444
Eastham,759,153,6,55
Easthampton,"2,146","2,691",13,630
Easton,"3,063","1,374",9,215
Edgartown,460,184,4,76
Egremont,298,75,0,43
Erving,233,199,0,92
Essex,763,233,3,74
Everett,"7,561","6,960",208,"1,502"
Fairhaven,"3,109","2,800",8,818
Fall River,"11,434","19,383",109,"6,366"
Falmouth,"3,940","1,909",13,619
Fitchburg,"5,711","7,787",23,"2,229"
Florida,110,93,0,27
Foxborough,"2,822","1,355",10,160
Framingham,"12,555","8,479",27,"1,112"
Franklin,"2,620","2,296",17,458
Freetown,772,521,0,70
Gardner,"2,772","3,783",10,914
Georgetown,"1,310",475,2,129
