City/Town,Republican,Democratic,All Others,Blanks
Abington,"3,459","2,105",302,47
Acton,"3,776","4,534",355,71
Acushnet,"1,500","1,383",209,53
Adams,600,"1,507",108,23
Agawam,"5,778","3,148",1176,202
Alford,55,148,3,3
Amesbury,"3,015","2,530",329,71
Amherst,"1,269","6,092",426,147
Andover,"7,862","4,869",390,90
Aquinnah,40,147,12,1
Arlington,"6,243","12,435",842,221
Ashburnham,"1,205",831,140,18
Ashby,754,443,97,10
Ashfield,200,587,56,24
Ashland,"2,954","2,523",206,53
Athol,"1,884","1,166",260,63
Attleboro,"6,652","4,953",569,121
Auburn,"3,743","2,250",288,63
Avon,909,712,69,10
Ayer,"1,333",970,162,25
Barnstable,"10,670","7,222",757,123
Barre,"1,155",658,114,30
Becket,191,354,41,7
Bedford,"2,764","2,633",220,47
Belchertown,"2,440","2,209",551,75
Bellingham,"3,268","2,038",288,68
Belmont,"4,303","5,623",321,98
Berkley,"1,264",720,120,29
Berlin,758,548,86,19
Bernardston,312,391,93,12
Beverly,"7,538","6,394",657,205
Billerica,"8,248","5,121",731,134
Blackstone,"1,687","1,011",179,36
Blandford,293,152,65,5
Bolton,"1,278",877,121,18
Boston,"47,653","104,995",6192,"2,275"
Bourne,"4,494","2,666",335,53
Boxborough,"1,045",944,89,24
Boxford,"2,542","1,031",100,22
Boylston,"1,277",710,70,18
Braintree,"8,223","5,462",583,149
Brewster,"2,475","2,201",219,51
Bridgewater,"5,059","2,830",362,87
Brimfield,891,419,120,16
Brockton,"7,433","12,792",959,292
Brookfield,719,421,91,14
Brookline,"5,567","12,488",616,178
Buckland,242,438,54,16
Burlington,"5,205","3,659",377,93
Cambridge,"5,589","25,525",1246,365
Canton,"5,026","3,337",338,73
Carlisle,"1,231","1,194",86,30
Carver,"2,466","1,351",233,44
Charlemont,157,226,58,3
Charlton,"3,030","1,263",222,49
Chatham,"2,063","1,424",95,24
Chelmsford,"8,198","5,140",703,137
Chelsea,"1,464","3,243",189,259
Cheshire,378,576,50,9
Chester,272,130,64,1
Chesterfield,229,253,60,7
Chicopee,"7,604","5,951",2248,268
Chilmark,136,344,23,8
Clarksburg,174,377,13,6
Clinton,"2,241","1,935",236,61
Cohasset,"2,304","1,177",113,25
Colrain,227,303,59,12
Concord,"3,440","4,518",247,69
Conway,281,608,56,15
Cummington,120,248,54,3
Dalton,689,"1,213",127,27
Danvers,"5,975","3,668",433,84
Dartmouth,"4,514","4,299",462,127
Dedham,"5,107","4,299",399,90
Deerfield,779,"1,265",189,27
Dennis,"3,741","2,961",299,56
Dighton,"1,365",829,124,34
Douglas,"2,104",814,130,34
Dover,"1,836",796,70,16
Dracut,"6,614","3,416",465,135
Dudley,"2,179","1,170",165,29
Dunstable,850,482,50,12
Duxbury,"4,502","2,255",217,45
E. Bridgewater,"3,101","1,601",227,64
E. Brookfield,577,243,47,15
E. Longmeadow,"3,777","1,893",603,95
Eastham,"1,288","1,392",130,18
Easthampton,"2,209","3,237",737,82
