City/Town,Republican,Democratic,All Others,Blanks
Abington,"3,160","2,885",145,179
Acton,"5,595","2,849",179,198
Acushnet,"1,553","2,428",172,146
Adams,"1,551","2,115",137,168
Agawam,"5,003","4,598",397,357
Alford,118,47,5,12
Amesbury,"2,950","2,406",145,156
Amherst,"4,201","3,572",354,"1,517"
Andover,"8,608","5,500",246,204
Aquinnah,36,65,4,11
Arlington,"11,881","10,556",744,"1,167"
Ashburnham,"1,089","1,024",71,35
Ashby,709,418,34,18
Ashfield,474,244,24,85
Ashland,"3,033","2,236",149,155
Athol,"1,938","1,732",131,91
Attleboro,"6,321","5,486",462,430
Auburn,"3,432","3,497",140,280
Avon,"1,223","1,119",72,38
Ayer,995,866,77,41
Barnstable,"10,041","7,920",436,662
Barre,"1,029",961,53,47
Becket,222,231,25,20
Bedford,"3,554","2,167",154,98
Belchertown,"1,969","1,654",235,214
Bellingham,"2,983","2,746",249,171
Belmont,"7,512","5,507",291,462
Berkley,923,661,55,37
Berlin,728,383,21,13
Bernardston,534,310,16,35
Beverly,"9,527","7,068",469,443
Billerica,"8,100","6,146",473,478
Blackstone,"1,224","1,530",86,119
Blandford,305,170,22,21
Bolton,"1,085",545,39,24
Boston,"63,109","84,235",4097,"8,458"
Bourne,"3,518","2,800",201,135
Boxborough,"1,036",475,35,21
Boxford,"2,310",994,45,51
Boylston,"1,081",722,30,21
Braintree,"8,376","8,137",367,255
Brewster,"2,692","1,555",123,181
Bridgewater,"3,790","3,169",194,296
Brimfield,680,540,46,29
Brockton,"13,256","13,486",755,"1,108"
Brookfield,681,518,15,18
Brookline,"12,483","10,190",506,969
Buckland,466,301,41,34
Burlington,"5,906","4,824",328,164
Cambridge,"17,581","13,573",1332,"2,448"
Canton,"4,933","4,471",230,339
Carlisle,"1,558",765,63,34
Carver,"2,488","1,805",145,53
Charlemont,290,166,22,25
Charlton,"1,778","1,538",78,48
Chatham,"2,646","1,288",79,64
Chelmsford,"9,012","6,202",427,232
Chelsea,"2,775","4,470",189,472
Cheshire,669,702,9,43
Chester,233,213,27,12
Chesterfield,272,140,26,32
Chicopee,"7,777","10,766",797,535
Chilmark,211,163,15,27
Clarksburg,361,357,34,19
Clinton,"2,540","2,718",128,74
Cohasset,"2,333","1,589",70,123
Colrain,384,229,57,29
Concord,"5,230","2,989",160,178
Conway,433,261,22,80
Cummington,224,91,33,23
Dalton,"1,319","1,257",157,121
Danvers,"6,257","5,011",291,304
Dartmouth,"4,283","5,562",362,627
Dedham,"5,911","5,841",259,316
Deerfield,"1,163","1,099",60,143
Dennis,"4,104","2,884",185,323
Dighton,"1,119","1,223",72,54
Douglas,"1,061",918,49,34
Dover,"1,906",859,37,90
Dracut,"5,298","5,219",373,414
Dudley,"1,482","1,904",57,136
Dunstable,671,367,31,12
Duxbury,"4,244","2,666",131,177
E. Bridgewater,"2,605","1,746",126,49
E. Brookfield,414,377,25,11
E. Longmeadow,"3,251","2,402",143,177
Eastham,"1,548",964,66,56
Easthampton,"3,049","2,803",267,333
Easton,"5,114","3,516",212,145
Edgartown,631,613,46,213
Egremont,279,192,30,31
Erving,315,273,31,21
Essex,"1,018",551,31,24
Everett,"6,204","7,711",385,485
Fairhaven,"2,742","3,691",235,257
Fall River,"6,614","18,283",745,"2,126"
Falmouth,"6,761","6,156",349,464
Fitchburg,"5,413","6,930",364,474
Florida,149,123,14,29
Foxborough,"3,936","2,905",161,134
Framingham,"13,708","11,732",723,743
Franklin,"4,793","3,998",263,229
Freetown,"1,510","1,608",116,73
Gardner,"3,164","3,911",197,205
Georgetown,"1,786","1,157",76,35
Gill,321,268,19,41
Gloucester,"6,214","5,316",269,345
Goshen,190,102,43,11
Gosnold,47,33,4,0
Grafton,"2,883","2,486",87,74
Granby,"1,141",999,84,52
Granville,364,160,25,17
Great Barrington,"1,246","1,187",127,173
Greenfield,"3,633","3,095",240,334
Groton,"2,073","1,233",91,59
Groveland,"1,490","1,058",59,45
Hadley,"1,082","1,043",72,199
Halifax,"1,750","1,127",85,57
Hamilton,"2,283","1,229",117,74
Hampden,"1,137",823,52,68
Hancock,167,100,21,17
Hanover,"3,184","2,786",129,83
Hanson,"2,009","1,791",109,177
Hardwick,519,517,43,22
Harvard,"1,769",826,88,31
Harwich,"3,259","2,134",136,261
Hatfield,721,835,111,51
Haverhill,"9,658","9,027",506,412
Hawley,68,28,13,12
Heath,182,70,24,20
Hingham,"6,292","4,509",203,267
Hinsdale,298,245,51,31
Holbrook,"2,672","2,365",154,112
Holden,"4,344","2,882",123,86
Holland,384,390,31,14
Holliston,"3,870","2,613",153,153
Holyoke,"4,595","7,487",430,745
Hopedale,"1,463","1,114",97,49
Hopkinton,"2,586","1,733",145,62
Hubbardston,767,528,32,14
Hudson,"4,819","2,261",217,76
Hull,"2,025","2,205",142,125
Huntington,375,252,52,16
Ipswich,"3,567","2,286",145,126
Kingston,"2,172","1,696",130,68
Lakeville,"1,960","1,460",96,37
Lancaster,"1,530",870,108,0
Lanesborough,519,491,65,58
Lawrence,"6,227","8,334",376,494
Lee,"1,014","1,033",86,189
Leicester,"1,856","2,394",88,73
Lenox,"1,042","1,004",111,113
Leominster,"6,936","7,039",400,276
Leverett,443,316,167,39
Lexington,"8,920","5,778",367,324
Leyden,162,131,23,14
Lincoln,"1,784",899,67,121
