City/Town,Republican,Democratic,All Others,Blanks
Abington,"4,310","1,335",40,183
Acton,"6,337","2,032",62,217
Acushnet,"2,520","1,096",37,122
Adams,"2,320","1,312",40,95
Agawam,"8,708","2,247",108,403
Alford,116,60,2,6
Amesbury,"3,839","1,212",57,186
Amherst,"3,540","3,849",114,275
Andover,"11,026","2,626",80,222
Aquinnah,71,61,5,0
Arlington,"12,740","7,771",200,983
Ashburnham,"1,465",430,15,56
Ashby,869,223,5,16
Ashfield,490,272,13,16
Ashland,"3,876","1,205",37,226
Athol,"2,565",729,47,53
Attleboro,"8,223","2,734",136,466
Auburn,"5,052","1,446",34,85
Avon,"1,569",524,12,56
Ayer,"1,387",434,30,18
Barnstable,"14,369","4,420",109,392
Barre,"1,416",436,14,39
Becket,368,172,10,10
Bedford,"4,089","1,362",43,94
Belchertown,"2,552","1,230",59,319
Bellingham,"3,962","1,335",51,153
Belmont,"8,346","4,043",73,594
Berkley,"1,059",512,24,26
Berlin,848,180,7,14
Bernardston,663,160,7,12
Beverly,"11,499","3,796",106,518
Billerica,"10,365","3,011",113,165
Blackstone,"1,921",737,35,75
Blandford,384,110,3,8
Bolton,"1,322",302,15,23
Boston,"81,167","54,713",1445,"8,130"
Bourne,"4,817","1,525",56,108
Boxborough,"1,373",356,16,20
Boxford,"2,875",465,20,47
Boylston,"1,499",323,18,28
Braintree,"10,878","3,950",85,424
Brewster,"3,431","1,073",27,69
Bridgewater,"5,144","1,575",69,352
Brimfield,927,317,12,14
Brockton,"16,374","6,237",207,"1,072"
Brookfield,874,223,14,11
Brookline,"12,109","8,986",136,734
Buckland,572,203,4,17
Burlington,"7,317","2,243",64,230
Cambridge,"15,297","16,343",340,"1,564"
Canton,"6,677","2,282",63,314
Carlisle,"1,788",547,10,24
Carver,"3,027","1,001",30,52
Charlemont,307,108,4,5
Charlton,"2,753",571,28,41
Chatham,"3,116",706,24,47
Chelmsford,"11,302","2,648",101,246
Chelsea,"3,660","2,222",87,509
Cheshire,924,459,19,23
Chester,339,129,13,4
Chesterfield,332,96,9,8
Chicopee,"13,914","4,976",188,395
Chilmark,247,158,3,13
Clarksburg,522,170,5,16
Clinton,"3,857","1,205",46,95
Cohasset,"2,783",721,17,287
Colrain,439,172,14,9
Concord,"5,637","2,370",47,138
Conway,441,321,8,14
Cummington,212,154,5,5
Dalton,"1,659",848,22,67
Danvers,"7,856","2,401",77,412
Dartmouth,"6,846","2,571",149,325
Dedham,"7,531","2,899",81,474
Deerfield,"1,474",619,17,39
Dennis,"5,460","1,672",53,117
Dighton,"1,422",724,15,54
Douglas,"1,646",485,23,27
Dover,"2,329",396,16,43
Dracut,"7,587","2,281",76,585
Dudley,"2,370",802,26,124
Dunstable,879,153,8,10
Duxbury,"5,453","1,254",40,94
E. Bridgewater,"3,389",847,32,87
E. Brookfield,581,154,7,17
E. Longmeadow,"5,179","1,045",24,137
Eastham,"1,964",672,19,19
Easthampton,"4,508","1,604",69,120
Easton,"6,341","1,768",59,124
Edgartown,"1,022",348,15,51
Egremont,358,177,8,13
Erving,435,121,11,9
Essex,"1,247",300,10,24
Everett,"7,592","3,851",110,569
Fairhaven,"3,938","1,680",76,200
Fall River,"12,513","10,893",519,"1,642"
Falmouth,"9,210","3,803",117,469
Fitchburg,"7,145","2,841",92,533
Florida,180,91,6,7
