City/Town,Republican,Democratic,All Others,Blanks
Abington,"2,726","1,929",103,76
Acton,"3,909","3,675",129,141
Acushnet,"1,606","1,736",61,62
Adams,"1,406","1,286",44,58
Agawam,"4,504","3,657",145,99
Alford,115,73,4,1
Amesbury,"2,346","1,961",117,54
Amherst,"1,558","5,165",105,63
Andover,"7,002","4,689",186,92
Aquinnah,50,109,1,5
Arlington,"7,341","10,762",326,243
Ashburnham,878,776,37,31
Ashby,567,363,20,6
Ashfield,263,411,21,9
Ashland,"2,256","1,926",83,31
Athol,"1,643","1,191",54,32
Attleboro,"5,209","4,101",193,84
Auburn,"3,740","2,586",99,76
Avon,968,731,34,40
Ayer,"1,028",634,58,19
Barnstable,"10,438","7,881",331,330
Barre,"1,000",718,46,38
Becket,253,230,14,5
Bedford,"2,630","2,403",98,46
Belchertown,"1,731","1,899",72,48
Bellingham,"2,517","1,853",82,60
Belmont,"4,807","5,691",125,126
Berkley,795,579,27,21
Berlin,749,242,31,16
Bernardston,387,290,13,7
Beverly,"7,111","5,913",284,234
Billerica,"6,757","4,544",297,119
Blackstone,"1,169",928,48,29
Blandford,218,154,16,3
Bolton,"1,101",514,30,18
Boston,"46,554","71,984",2000,"3,235"
Bourne,"3,756","2,685",123,140
Boxborough,971,705,26,14
Boxford,"2,163",929,71,42
Boylston,"1,052",534,35,21
Braintree,"7,452","5,452",222,292
Brewster,"2,417","2,018",100,84
Bridgewater,"3,493","2,693",123,90
Brimfield,592,443,20,16
Brockton,"9,615","8,627",336,312
Brookfield,584,341,30,24
Brookline,"5,345","11,809",254,246
Buckland,308,334,18,11
Burlington,"4,522","3,304",160,109
Cambridge,"6,584","20,209",440,331
Canton,"4,395","3,594",135,137
Carlisle,"1,145",898,32,11
Carver,"2,059","1,347",88,57
Charlemont,193,170,17,2
Charlton,"2,103","1,094",66,37
Chatham,"2,225","1,403",72,78
Chelmsford,"7,607","4,856",242,209
Chelsea,"1,948","2,432",83,184
Cheshire,648,491,29,12
Chester,225,162,14,1
Chesterfield,214,165,15,4
Chicopee,"6,937","7,664",331,208
Chilmark,224,285,14,9
Clarksburg,353,199,6,12
Clinton,"2,425","1,684",68,63
Cohasset,"2,033","1,280",43,54
Colrain,252,288,9,7
Concord,"3,570","3,785",102,70
Conway,261,483,14,6
Cummington,149,168,6,3
Dalton,"1,155",913,20,48
Danvers,"5,217","3,788",164,113
Dartmouth,"4,852","4,929",147,230
Dedham,"4,837","4,067",164,163
Deerfield,822,"1,115",19,21
Dennis,"3,898","2,996",132,110
Dighton,871,767,21,27
Douglas,"1,400",593,28,19
Dover,"1,704",726,24,46
Dracut,"5,014","3,384",158,117
